,Date,Volume,Open,High,Low,Close
413,20230201,18570133,62600,62700,61000,61800
412,20230131,29746731,63500,63700,61000,61000
411,20230130,20995234,64900,64900,63100,63300
410,20230127,18760182,64400,65000,63900,64600
409,20230126,13278277,63800,63900,63300,63900
408,20230125,16822710,63500,63700,63000,63400
407,20230120,9646327,62100,62300,61100,61800
406,20230119,12808490,60500,61500,60400,61500
405,20230118,11584041,60700,61000,59900,60400
404,20230117,9831456,61200,61500,60600,61000
403,20230116,10039972,61300,61600,60800,61100
402,20230113,12510328,60500,61200,60400,60800
401,20230112,16102561,61100,61200,59900,60500
400,20230111,12310751,61000,61200,60300,60500
399,20230110,14859797,60200,61100,59900,60400
398,20230109,18640107,59700,60700,59600,60700
397,20230106,17334989,58300,59400,57900,59000
396,20230105,15682826,58200,58800,57600,58200
395,20230104,20188071,55700,58000,55600,57800
394,20230103,13547030,55400,56000,54500,55400
393,20230102,10031448,55500,56100,55200,55500
392,20221229,11295935,56000,56200,55300,55300
391,20221228,14665410,57600,57600,56400,56600
390,20221227,10667027,58000,58400,57900,58100
389,20221226,6756411,58000,58100,57700,57900
388,20221223,9829407,58200,58400,57700,58100
387,20221222,10720630,58100,59100,58100,59100
386,20221221,10356971,58700,59100,58000,58000
385,20221220,9284761,59000,59100,58500,58600
384,20221219,7696187,59500,59900,59100,59500
383,20221216,13033596,58300,59500,58300,59500
382,20221215,8716039,59800,60200,59300,59300
381,20221214,8207485,59800,60600,59800,60500
380,20221213,9040873,59600,60300,59400,59700
379,20221212,9036472,59900,60000,59400,59500
378,20221209,10529632,59300,60600,59300,60400
377,20221208,12986815,58700,59200,58600,59200
376,20221207,12100662,58800,59600,58500,58900
375,20221206,13888300,59800,60100,59200,59200
374,20221205,13767787,60900,61100,60000,60300
373,20221202,15331184,62500,62500,60400,60400
372,20221201,16631445,63100,63200,62300,62600
371,20221130,19768903,60400,62200,60200,62200
370,20221129,7014160,59900,60600,59800,60600
369,20221128,8589032,60500,60500,59800,60100
368,20221125,6677933,61400,61700,60800,61000
367,20221124,8125010,61200,61700,60900,61400
366,20221123,8765050,61200,61300,60700,61000
365,20221122,9411289,60900,61200,60300,60600
364,20221121,9378097,61400,61800,60800,61400
363,20221118,12236503,61800,62400,61400,61800
362,20221117,13298296,62000,62000,61300,61400
361,20221116,12909260,62400,62700,61700,62700
360,20221115,12310986,62200,62500,61600,62400
359,20221114,15973416,62900,62900,61700,61900
358,20221111,20037163,63100,63200,62300,62900
357,20221110,21087633,61400,61500,60400,60400
356,20221109,14045592,62000,62200,61300,62000
355,20221108,18273898,60500,61900,60500,61800
354,20221107,12437246,59700,60300,59400,60200
353,20221104,12445841,59100,59500,58400,59400
352,20221103,17492162,58600,59800,58100,59200
351,20221102,13202919,59700,60000,59300,59600
350,20221101,17201647,59900,60300,59500,60000
349,20221031,18999514,58100,59900,58000,59400
348,20221028,20924937,58900,59200,57200,57300
347,20221027,21756712,59700,60100,58900,59500
346,20221026,20824967,58000,59600,57700,59400
345,20221025,17405678,57000,58600,57000,57700
344,20221024,16944503,57000,57500,56700,57500
343,20221021,11456060,55100,56300,55100,55900
342,20221020,17107653,55200,56000,55100,55500
341,20221019,12660652,56700,56900,55700,55800
340,20221018,14820702,56700,57100,55800,56500
339,20221017,13641878,55800,57000,55700,56600
338,20221014,12924326,56200,56500,55800,56300
337,20221013,13784602,55400,56100,55200,55200
336,20221012,18408910,55700,57000,55200,55800
335,20221011,21437877,54400,55700,54000,55400
334,20221007,16886813,55900,56900,55200,56200
333,20221006,14944446,56700,57300,56300,56300
332,20221005,22458970,56900,57200,55400,56000
331,20221004,19148435,55300,55400,54500,55200
330,20220930,22503249,52300,53600,51800,53100
329,20220929,13882080,53300,53700,52600,52600
328,20220928,19991129,53900,54400,52500,52900
327,20220927,16631289,53800,54200,53500,54200
326,20220926,15008449,53700,54200,53600,53900
325,20220923,10555964,54400,54900,54200,54500
324,20220922,12786510,54600,54700,54300,54400
323,20220921,11863700,55400,55500,55000,55300
322,20220920,14041465,56400,57000,55800,55800
321,20220919,12278653,56300,57000,56000,56400
320,20220916,13456503,55600,56400,55500,56200
319,20220915,11664819,57000,57100,56000,56000
318,20220914,12524961,56200,57200,56100,56800
317,20220913,17166581,57000,58500,56800,58100
316,20220908,18000016,56200,56400,55600,55600
315,20220907,17384854,56700,56700,55900,56000
314,20220906,7503086,57200,57600,56900,57100
313,20220905,11425977,57400,57800,56800,57100
312,20220902,15040310,58300,58600,57500,57500
311,20220901,14905777,58700,58900,58300,58400
310,20220831,14203512,58200,59900,58200,59700
309,20220830,9690044,58700,59000,58300,58800
308,20220829,9841329,58700,58900,58600,58600
307,20220826,9499995,60300,60900,59900,60000
306,20220825,5767902,59200,59700,59000,59700
305,20220824,8888486,59200,59500,59000,59000
304,20220823,9041629,59000,59600,59000,59100
303,20220822,8259865,60300,60400,59800,60000
302,20220819,6923679,61400,61600,60600,60900
301,20220818,16372754,60300,61900,60000,61500
300,20220817,9061518,61100,61200,60300,60400
299,20220816,15036727,60500,61600,60300,61000
298,20220812,10786658,59500,60700,59400,60200
297,20220811,15141941,59600,60000,59300,59900
296,20220810,18084349,58900,59200,58600,59100
295,20220809,18251170,60600,60700,59600,60000
294,20220808,11313150,61400,61400,60600,60800
293,20220805,9567620,61700,61900,61200,61500
292,20220804,9125439,61700,61800,61200,61500
291,20220803,10053861,61600,61600,61000,61300
290,20220802,13614895,61200,61900,61000,61700
289,20220801,13154816,61000,61700,60300,61300
288,20220729,15093120,62400,62600,61300,61400
287,20220728,10745302,62300,62600,61600,61900
286,20220727,7320997,61300,61900,61200,61800
285,20220726,6597211,60800,61900,60800,61700
284,20220725,9193681,60900,61900,60800,61100
283,20220722,10261310,61800,62200,61200,61300
282,20220721,12291374,61100,61900,60700,61800
281,20220720,16782238,61800,62100,60500,60500
280,20220719,15248261,61400,61500,60200,60900
279,20220718,20832517,60600,62000,60500,61900
278,20220715,18685583,58400,60000,58100,60000
277,20220714,15067012,57500,58200,57400,57500
276,20220713,10841315,58300,58600,58000,58000
275,20220712,9336061,58600,58700,58100,58100
274,20220711,13042624,59300,59600,58700,58800
273,20220708,15339271,58600,59300,58200,58700
272,20220707,21322833,56400,58700,56300,58200
271,20220706,16820461,57300,57300,56400,56400
270,20220705,14216539,57600,58200,57200,57200
269,20220704,17807126,56100,57400,55700,57100
268,20220701,24982097,56900,57500,55900,56200
267,20220630,18915142,57200,57600,57000,57000
266,20220629,14677138,58500,58800,58000,58000
265,20220628,13540538,59200,59500,58700,59400
264,20220627,18122236,59000,59900,58300,58800
263,20220624,23256103,57900,59100,57700,58400
262,20220623,28338608,57700,58000,56800,57400
261,20220622,23334687,59000,59100,57600,57600
260,20220621,25148109,58700,59200,58200,58500
259,20220620,34111306,59800,59900,58100,58700
258,20220617,29053450,59400,59900,59400,59800
257,20220616,23394895,61300,61800,60500,60900
256,20220615,26811224,61300,61500,60200,60700
255,20220614,24606419,61200,62200,61100,61900
254,20220613,22157816,62400,62800,62100,62100
253,20220610,22193552,64000,64400,63800,63800
252,20220609,25790725,65100,65200,64500,65200
251,20220608,12483180,65400,65700,65300,65300
250,20220607,19355755,66200,66400,65400,65500
249,20220603,8222883,67200,67300,66800,66800
248,20220602,14959443,66600,67000,66400,66700
247,20220531,24365002,67500,67500,66700,67400
246,20220530,14255484,67500,67800,66900,67700
245,20220527,11405555,66700,66900,66200,66500
244,20220526,15970890,66300,67200,65500,65900
243,20220525,15150490,66700,67100,65900,66400
242,20220524,15482576,67500,67700,66500,66500
241,20220523,13684088,68800,68800,67600,67900
240,20220520,12109671,67800,68400,67700,68000
239,20220519,17073727,66500,67600,66500,67500
238,20220518,16486319,68300,68700,67600,68100
237,20220517,15680447,66600,67900,66600,67600
236,20220516,11937555,67100,67400,66100,66300
235,20220513,14551536,65300,66700,65200,66500
234,20220512,16414188,65200,65500,64900,64900
233,20220511,12330920,65500,66300,65200,65700
232,20220510,17235605,65900,66300,65300,65700
231,20220509,11858736,66300,66900,66100,66100
230,20220506,14356156,67000,67100,66500,66500
229,20220504,11505248,68000,68400,67500,67900
228,20220503,14168875,67400,68400,67300,67500
227,20220502,14106184,66600,67600,66500,67300
226,20220429,26190390,65100,67600,65000,67400
225,20220428,16895527,65400,65500,64500,64800
224,20220427,18122084,65400,65500,64900,65000
223,20220426,12946923,66400,66700,66100,66100
222,20220425,11016474,66500,66700,66300,66300
221,20220422,11791478,67200,67300,66700,67000
220,20220421,12847448,67600,68300,67500,67700
219,20220420,16693293,67000,67400,66500,67400
218,20220419,12959434,67100,68000,67000,67300
217,20220418,10119203,66500,67100,66100,66700
216,20220415,13176415,67200,67300,66500,66600
215,20220414,16409494,68700,68700,67500,67500
214,20220413,17378619,67300,69000,67200,68700
213,20220412,13924389,67600,67700,67000,67000
212,20220411,12263735,67800,68100,67400,67900
211,20220408,15453191,68100,68300,67700,67800
210,20220407,20683327,68500,68500,68000,68000
209,20220406,15517308,68600,68800,68500,68500
208,20220405,8467248,69400,69600,69100,69200
207,20220404,11107905,68900,69300,68600,69300
206,20220401,15916846,69500,69500,69000,69100
205,20220331,12510366,69900,70200,69600,69600
204,20220330,12670187,70300,70500,69800,69900
203,20220329,13686208,70000,70300,69800,70200
202,20220328,12619289,69500,69900,69200,69700
201,20220325,12986010,70100,70200,69600,69800
200,20220324,37943357,69600,70300,69600,69800
199,20220323,12398025,70600,71200,70300,70500
198,20220322,9402666,69900,70500,69900,70300
197,20220321,11169002,70900,71000,69900,69900
196,20220318,14410038,70600,70900,70200,70700
195,20220317,17646315,71200,71800,70900,71200
194,20220316,10175750,70200,70500,69700,70400
193,20220315,10258562,69800,70100,69500,69500
192,20220314,9040993,70000,70200,69600,70200
191,20220311,15787655,70500,70700,69700,70000
190,20220310,21159248,70800,71200,70500,71200
189,20220308,15828269,68800,70000,68700,69500
188,20220307,18617138,70000,70600,69900,70100
187,20220304,13409634,72700,72700,71200,71500
186,20220303,13232638,72300,73100,72200,72900
185,20220302,12481430,72300,72400,71500,71700
184,20220228,17781783,71100,72100,71000,72100
183,20220225,13168484,72100,72600,71900,71900
182,20220224,15759283,72300,72300,71300,71500
181,20220223,10397964,73800,73800,72800,73000
180,20220222,11692469,73000,73400,72800,73400
179,20220221,10489717,73200,74300,72600,74200
178,20220218,10122226,74600,74800,73700,74300
177,20220217,13605382,75000,75600,74500,75000
176,20220216,10767386,74600,74900,74200,74800
175,20220215,9320365,74100,74200,73100,73700
174,20220214,13993255,74400,74500,73100,73700
173,20220211,12205407,75000,75500,74600,74900
172,20220210,17746033,75600,75800,74700,75400
171,20220209,9699122,74300,74700,74000,74700
170,20220208,11736666,73800,74200,73000,73500
169,20220207,14240838,73500,73600,72400,73000
168,20220204,12730034,74300,74600,73400,74000
167,20220203,17744721,74900,74900,73300,73300
166,20220128,21367447,71300,73700,71200,73300
165,20220127,22274777,73800,74000,71300,71300
164,20220126,12976730,73900,74400,73100,73300
163,20220125,17766704,74800,75000,73200,74000
162,20220124,13691134,75400,75800,74700,75100
161,20220121,15774888,75800,75800,74700,75600
160,20220120,9708168,76200,76700,75900,76500
159,20220119,10598290,76500,76900,76100,76300
158,20220118,9592788,77600,77800,76600,77000
157,20220117,8785122,77600,77800,76900,77500
156,20220114,10096725,77700,78100,77100,77300
155,20220113,13889401,79300,79300,77900,77900
154,20220112,11000502,79500,79600,78600,78900
153,20220111,13221123,78400,79000,78000,78900
152,20220110,9947422,78100,78100,77100,78000
151,20220107,15163757,78100,78400,77400,78300
150,20220106,12931954,76700,77600,76600,76900
149,20220105,25470640,78800,79000,76400,77400
148,20220104,12427416,78800,79200,78300,78700
147,20220103,13502112,79400,79800,78200,78600
146,20211230,14236700,78900,79500,78100,78300
145,20211229,19794795,80200,80200,78500,78800
144,20211228,18226325,80200,80400,79700,80300
143,20211227,10783368,80600,80600,79800,80200
142,20211224,12086380,80200,80800,80200,80500
141,20211223,13577498,79800,80000,79300,79900
140,20211222,17105892,78900,79400,78800,79400
139,20211221,14245298,77900,78300,77500,78100
138,20211220,11264375,77600,77800,76800,77100
137,20211217,13108479,76800,78000,76800,78000
136,20211216,11996128,78500,78500,77400,77800
135,20211215,9584939,76400,77600,76300,77600
134,20211214,10976660,76500,77200,76200,77000
133,20211213,15038750,77200,78300,76500,76800
132,20211210,9155219,77400,77600,76800,76900
131,20211209,21604528,77400,78200,77000,78200
130,20211208,21558340,78300,78600,77100,77400
129,20211207,19232453,76100,77700,75600,77400
128,20211206,16391250,75100,76700,74900,76300
127,20211203,18330240,75600,76000,74100,75600
126,20211202,23652940,73900,75800,73800,75800
125,20211201,21954856,72000,74800,71600,74400
124,20211130,30364841,73200,73900,70500,71300
123,20211129,16682559,71700,73000,71400,72300
122,20211126,13002242,73500,74100,72000,72300
121,20211125,12559258,75100,75100,73600,73700
120,20211124,15652305,76000,76200,74100,74800
119,20211123,22029195,76000,76000,74500,75300
118,20211122,27506623,73300,75200,73000,74900
117,20211119,11954728,70400,71400,70100,71200
116,20211118,10144957,70700,71000,70200,70200
115,20211117,11027606,71300,71600,70600,70700
114,20211116,10919239,71500,72000,71300,71300
113,20211115,12420710,71700,71900,70900,71400
112,20211112,10087450,70200,70900,69900,70600
111,20211111,11489122,69900,70000,69600,69900
110,20211110,9422009,70300,70900,70200,70200
109,20211109,11159589,70300,71000,70100,70500
108,20211108,11121981,70400,70600,69800,70600
107,20211105,12667743,71600,71600,70200,70200
106,20211104,11818987,71200,71600,70500,70600
105,20211103,12770428,71700,71700,70100,70400
104,20211102,16812570,70800,72200,70700,71500
103,20211101,11503729,70200,70600,69900,69900
102,20211029,17016151,71200,71600,69700,69800
101,20211028,20644902,69500,72200,69500,70700
100,20211027,10295316,71000,71000,70000,70100
99,20211026,10528252,70600,71500,70400,71100
98,20211025,10029621,69900,70600,69500,70200
97,20211022,8395448,70000,70700,70000,70400
96,20211021,10891094,70300,70600,70000,70200
95,20211020,10151638,70700,71000,70200,70300
94,20211019,9507991,70800,71000,70400,70600
93,20211018,13486391,70200,70300,69200,70200
92,20211015,18051612,70200,71000,70000,70100
91,20211014,19520641,69000,69800,68800,69400
90,20211013,24172015,68700,69600,68300,68800
89,20211012,31001484,70700,70900,68700,69000
88,20211008,14043287,72300,72400,71500,71500
87,20211007,13683532,71600,72100,71300,71600
86,20211006,18956962,72600,72800,71200,71300
85,20211005,24013921,73000,73000,71400,72200
84,20211001,15803395,73900,74000,72900,73200
83,20210930,19919361,74300,74800,73700,74100
82,20210929,23992458,74800,75300,73800,74100
81,20210928,15406382,77700,77800,76200,76300
80,20210927,11699798,77300,77700,77000,77700
79,20210924,12247274,77600,77700,77100,77300
78,20210923,17055590,77500,77600,76800,77400
77,20210917,16289502,76300,77200,75900,77200
76,20210916,13067622,77300,77400,76100,76100
75,20210915,12829128,77400,77400,76400,77000
74,20210914,18167057,77100,77700,76600,76600
73,20210913,11397775,75200,76300,75100,76300
72,20210910,10103212,75300,75600,74800,75300
71,20210909,17600770,76400,76600,75000,75300
70,20210908,11798147,76000,76400,75600,76300
69,20210907,13239401,77100,77100,75900,76100
68,20210906,12861180,76800,77600,76600,77300
67,20210903,12096419,76400,76700,76000,76600
66,20210902,15347486,76800,76800,75700,76000
65,20210901,16114775,76700,77100,75900,76800
64,20210831,24630370,74900,76700,74300,76700
63,20210830,12686999,75400,75500,74200,74600
62,20210827,15172748,74300,75000,73800,74300
61,20210826,16671494,76100,76200,74600,74600
60,20210825,22319664,76200,76600,74900,75700
59,20210824,21016913,73900,75700,73900,75600
58,20210823,19384648,73300,74000,73000,73300
57,20210820,22364803,73500,73900,72500,72700
56,20210819,22166298,73500,74400,73100,73100
55,20210818,29192631,73900,74600,73100,73900
54,20210817,30944847,74000,75100,74000,74200
53,20210813,61270643,75800,76000,74100,74400
52,20210812,42365223,77100,78200,76900,77000
51,20210811,30241137,79600,79800,78500,78500
50,20210810,20362639,82300,82400,80100,80200
49,20210809,15522581,81500,82300,80900,81500
48,20210806,13342623,81900,82500,81300,81500
47,20210805,18485469,83300,83300,82000,82100
46,20210804,25642368,82200,83100,81800,82900
45,20210803,24339360,79400,81400,79300,81400
44,20210802,11739124,79200,79500,78700,79300
43,20210730,13823411,78900,78900,78500,78500
42,20210729,14360453,78800,79400,78800,79000
41,20210728,12743417,78300,79200,78100,79200
40,20210727,11427693,79200,79400,78500,78500
39,20210726,10040975,79400,79500,78800,78800
38,20210723,9098910,79700,79900,79200,79300
37,20210722,12618790,79000,79800,78900,79700
36,20210721,12355296,79000,79100,78500,78500
35,20210720,12456646,78500,79000,78400,79000
34,20210719,13155414,79100,79200,78800,79000
33,20210716,10859399,80100,80100,79500,79800
32,20210715,13766279,79800,80600,79500,80600
31,20210714,11575636,79400,79600,79100,79500
30,20210713,9863450,80000,80200,79800,79800
29,20210712,9768108,79900,80000,79500,79700
28,20210709,22720577,79600,79800,79000,79400
27,20210708,16660998,81100,81200,79900,79900
26,20210707,15992202,81200,81300,80300,80800
25,20210706,12131651,80600,81200,80500,81200
24,20210705,8330969,80100,80800,80000,80400
23,20210702,8753097,80000,80400,79900,80000
22,20210701,13382882,80500,80600,80000,80100
21,20210630,13288643,81100,81400,80700,80700
20,20210629,15744317,81900,82100,80800,81000
19,20210628,11578529,81700,82000,81600,81900
18,20210625,13481405,81500,81900,81200,81600
17,20210624,18771080,80400,81400,80100,81200
16,20210623,13856548,80500,80600,79900,80100
15,20210622,11773365,80200,80300,79900,80000
14,20210621,16063340,79700,80000,79600,79900
13,20210618,14916721,81100,81100,80500,80500
12,20210617,14007385,81100,81300,80700,80900
11,20210616,14999855,81500,81900,81100,81800
10,20210615,10075685,80900,81200,80600,80900
9,20210614,10550078,80800,80900,80500,80500
8,20210611,14087962,81200,81700,80700,81000
7,20210610,17586995,81300,81400,80900,81000
6,20210609,14908823,81500,82000,81100,81100
5,20210608,12781226,82300,82600,81800,81900
4,20210607,16496197,82700,82800,81600,81900
3,20210604,18112259,82700,82700,81500,82200
2,20210603,29546007,81300,83000,81100,82800
1,20210602,16414644,80400,81400,80300,80800
0,20210601,14058401,80500,81300,80100,80600
